strain,date,DaysSinceRoot,Mutations
USA/HI-CDC-LC0754431/2022,7/2/22,919,83
USA/IA-CDC-2-5699374/2022,2/15/22,782,58
USA/IA-CDC-ASC210025232/2021,3/29/21,459,32
USA/IA-CDC-STM-73TY84RV7/2022,7/2/22,919,83
USA/ID-CDC-2-4567370/2021,6/7/21,529,35
USA/ID-CDC-IBX139030642891/2021,11/16/21,691,44
USA/ID-CDC-LC0505244/2022,1/21/22,757,57
USA/ID-CDC-LC0570608/2022,3/31/22,826,77
USA/ID-CDC-LC0574157/2022,4/6/22,832,80
USA/ID-CDC-LC0608439/2022,5/1/22,857,59
USA/ID-CDC-LC0707688/2022,6/12/22,899,80
USA/ID-CDC-LC0756683/2022,7/1/22,918,83
USA/IDEL20220606043_B_MN908947.3_consensus/2022,4/15/22,841,75
USA/IL-CDC-ASC210035378/2021,4/28/21,489,34
USA/IL-CDC-ASC210193629/2021,8/20/21,603,34
USA/IL-CDC-ASC210649512/2022,2/1/22,768,54
USA/IL-CDC-ASC210687686/2022,1/29/22,765,59
USA/IL-CDC-QDX35734967/2022,4/8/22,834,77
USA/IL-CDC-QDX37256792/2022,5/21/22,877,81
USA/IL-CDC-STM-UN5ZP89BG/2022,3/29/22,824,76
USA/IL-CDC-STM-X7BD3CH69/2022,7/3/22,920,84
USA/IL-QDX-198/2020,4/30/20,126,10
USA/IL-QDX-4491/2020,9/11/20,260,23
USA/IN-CDC-ASC210316303/2021,10/9/21,653,40
USA/IN-CDC-ASC210690639/2022,1/31/22,767,55
USA/IN-CDC-ASC210847021/2022,3/22/22,817,59
USA/IN-CDC-LC0590941/2022,4/21/22,847,79
USA/IN-CDC-LC0642474/2022,5/13/22,869,78
USA/IN-CDC-QDX32975285/2022,1/14/22,750,56
USA/IN-CDC-STM-4JRJSES2X/2022,6/30/22,917,83
USA/IN-CDC-STM-52CQBC6E9/2022,2/7/22,774,60
USA/IN-CDC-STM-QWFKDEHUE/2022,7/2/22,919,85
USA/IN-QDX-251/2020,4/29/20,125,8
USA/JW7113/2022,7/6/22,923,79
USA/KS-CDC-ASC210723618/2022,4/5/22,831,80
USA/KS-CDC-LC0198930/2021,8/18/21,601,35
USA/KS-CDC-LC0512418/2022,1/19/22,755,59
USA/KS-CDC-QDX34246488/2022,2/23/22,790,60
USA/KS-CDC-QDX34588584/2022,3/7/22,802,61
USA/KS-CDC-QDX36867127/2022,5/9/22,865,77
USA/KS-CDC-QDX37911069/2022,6/7/22,894,80
USA/KS-CDC-STM-SETB4Y4XR/2022,7/1/22,918,91
USA/KY-CDC-ASC210545812/2022,1/28/22,764,59
USA/KY-CDC-ASC210698083/2022,2/8/22,775,58
USA/KY-CDC-LC0014750/2021,2/9/21,411,26
USA/KY-CDC-LC0569455/2022,3/22/22,817,78
USA/KY-CDC-LC0602602/2022,4/26/22,852,75
USA/KY-CDC-LC0640672/2022,5/10/22,866,85
USA/KY-CDC-LC0736926/2022,6/23/22,910,84
USA/KY-CDC-LC0757176/2022,7/3/22,920,84
USA/KY-QDX-3515/2020,9/11/20,260,20
USA/LA-BIE-BP452/2022,7/1/22,918,80
USA/LA-BIE-LSUH002695/2022,1/26/22,762,56
USA/LA-BIE-PBR231/2020,7/18/20,205,14
USA/LA-CDC-2-4044426/2020,11/20/20,330,19
USA/LA-CDC-QDX34884584/2022,3/14/22,809,79
USA/LA-CDC-QDX38153280/2022,6/14/22,901,80
USA/LA-EVTL13087/2022,2/1/22,768,60
USA/LA-EVTL13992/2022,4/29/22,855,80
USA/LA-EVTL14136/2022,5/9/22,865,79
USA/MA-Broad-CRSP_24I3NUMNERYYZMOB/2022,5/8/22,864,80
USA/MA-Broad-CRSP_HCGUQV5T2CEJXV7Z/2022,3/29/22,824,75
USA/MA-Broad-CRSP_TP34A6C5FVEQFSKO/2022,4/11/22,837,79
USA/MA-CDC-LC0511498/2022,1/28/22,764,56
USA/MA-CDC-LC0755763/2022,7/2/22,919,88
USA/MA-CDCBI-CRSP_JSVMGLROX3WLLRMV/2022,2/20/22,787,60
USA/MA-CDCBI-CRSP_XTRFLEXAAFFIJU24/2022,6/6/22,893,83
USA/MA-MGH-00954/2020,5/2/20,128,9
USA/MA-MGH-01031/2020,5/1/20,127,9
USA/MD-CDC-LC0494840/2022,1/18/22,754,59
USA/MD-CDC-LC0727837/2022,6/21/22,908,80
USA/MD-CDC-LC0755020/2022,7/1/22,918,83
USA/MD-CDC-MMB14701989/2022,3/10/22,805,57
USA/MD-CDC-QDX34383143/2022,2/27/22,794,60
USA/MD-CDC-QDX35575342/2022,4/4/22,830,81
USA/MD-CDC-QDX37210601/2022,5/21/22,877,77
USA/MD-MDH-0084/2020,5/25/20,151,11
USA/MD-MDH-0160/2020,7/15/20,202,14
USA/MD-MDH-4023/2021,7/30/21,582,37
USA/MD-NIH-00017/2020,8/8/20,226,17
USA/ME-Broad-CRSP_CN3EH2Z6CYZ6AQSQ/2022,3/10/22,805,61
USA/ME-CDC-2-4068744/2020,12/26/20,366,16
USA/ME-CDC-ASC210690213/2022,2/1/22,768,56
USA/ME-CDC-QDX21715689/2021,2/3/21,405,22
USA/ME-CDC-QDX25497779/2021,6/1/21,523,38
USA/ME-CDC-QDX30085020/2021,10/14/21,658,40
USA/ME-CDC-QDX31963631/2021,12/9/21,714,41
USA/ME-CDC-QDX33164915/2022,1/20/22,756,58
USA/ME-CDC-QDX36361358/2022,4/22/22,848,79
USA/ME-CDCBI-CRSP_6IRVSPIDU74KFKJQ/2022,7/1/22,918,81
USA/ME-HETL-J15395/2022,5/23/22,879,88
USA/ME-HETL-J15575/2022,6/1/22,888,81
USA/MI-CDC-LC0746306/2022,6/23/22,910,83
USA/MI-CDC-STM-7TQ4HS9F2/2022,7/3/22,920,84
USA/MI-CDC-STM-BU523BAYN/2022,4/5/22,831,77
USA/MI-CDC-STM-SDEP8TDG7/2022,3/9/22,804,59
USA/MI-MDHHS-SC39820/2022,2/15/22,782,57
USA/MI-MDHHS-SC41305/2022,5/25/22,881,79
USA/MN-CDC-ASC210848681/2022,3/28/22,823,79
USA/MN-CDC-IBX381092273914/2022,1/31/22,767,59
USA/MN-CDC-IBX578732192126/2021,10/25/21,669,38
USA/MN-MDH-22595/2022,2/8/22,775,58
USA/MN-MDH-24281/2022,4/21/22,847,81
USA/MN-MDH-25414/2022,5/19/22,875,79
USA/MN-MDH-27441/2022,7/1/22,918,80
USA/MN-MDH-27459/2022,6/21/22,908,84
USA/MN-UMGC-697/2021,3/18/21,448,34
USA/MO-CDC-ASC210683144/2022,1/25/22,761,58
USA/MO-CDC-QDX33832328/2022,2/11/22,778,61
USA/MO-CDC-QDX34588577/2022,3/6/22,801,57
USA/MO-CDC-QDX36360927/2022,4/26/22,852,61
USA/MO-CDC-QDX36853276/2022,5/7/22,863,81
USA/MO-CDC-STM-TEJ3QCVMM/2022,6/3/22,890,82
USA/MO-CDC-STM-V9W6JQK7G/2022,7/1/22,918,82
USA/MO-QDX-3367/2020,9/29/20,278,18
USA/MP-CDC-2-3830938/2021,1/2/21,373,15
USA/MP-CDC-2-3831041/2020,11/14/20,324,15
USA/MP-CDC-2-3831104/2020,11/5/20,315,22
USA/MP-CDC-2-3998359/2021,2/20/21,422,27
USA/MP-CDC-2-5772922/2022,2/22/22,789,77
USA/MP-CDC-2-5807371/2022,1/28/22,764,75
USA/MP-CDC-2-5839047/2022,3/7/22,802,79
USA/MP-CDC-2-5903899/2022,4/4/22,830,77
USA/MP-CDC-2-6113757/2022,5/3/22,859,82
USA/MP-CDC-2-6115688/2022,6/3/22,890,85
USA/MS-CDC-2-4080414/2021,3/10/21,440,24
USA/MS-CDC-STM-9KUHN3UWD/2022,1/25/22,761,62
USA/MS-CDC-STM-MYB22AHWX/2022,7/2/22,919,82
USA/MS-MSPHL-0768/2022,3/29/22,824,60
USA/MS-MSPHL-0954/2022,5/11/22,867,81
USA/MS-MSPHL-1251/2022,6/7/22,894,78
USA/MT-BHDH-2631/2020,6/17/20,174,15
USA/MT-CDC-2-5877254/2022,4/4/22,830,58
USA/MT-CDC-ASC210332767/2021,9/21/21,635,38
USA/MT-CDC-ASC210689097/2022,1/31/22,767,58
USA/MT-CDC-LC0567847/2022,3/13/22,808,59
USA/MT-CDC-LC0687613/2022,5/26/22,882,83
USA/MT-CDC-LC0749010/2022,6/24/22,911,81
USA/MT-CDC-LC0757311/2022,7/1/22,918,84
USA/MT-CDC-MMB14179322/2022,2/4/22,771,61
USA/NC-CDC-ASC210848889/2022,3/28/22,823,62
USA/NC-CDC-LC0001520/2020,12/28/20,368,19
USA/NC-CDC-LC0541594/2022,2/13/22,780,57
USA/NC-CDC-LC0586092/2022,4/19/22,845,80
USA/NC-CDC-LC0648935/2022,5/16/22,872,77
USA/NC-CDC-LC0699218/2022,6/7/22,894,81
USA/NC-CDC-MMB14004529/2022,1/27/22,763,58
USA/ND-CDC-2-5064188/2021,10/7/21,651,40
USA/ND-CDC-2-5803004/2022,3/16/22,811,67
USA/ND-CDC-2-5926301/2022,4/19/22,845,76
USA/ND-CDC-2-6050798/2022,5/10/22,866,78
USA/ND-CDC-2-6169033/2022,6/21/22,908,76
USA/ND-CDC-IBX462616035613/2022,2/13/22,780,76
USA/ND-CDC-QDX33502174/2022,1/26/22,762,58
USA/ND-NDDH-0015/2020,5/2/20,128,8
USA/NE-CDC-ASC210700131/2022,2/11/22,778,56
USA/NE-CDC-ASC210849050/2022,3/29/22,824,75
USA/NE-CDC-LC0607382/2022,4/18/22,844,78
USA/NE-CDC-QDX36965190/2022,5/10/22,866,78
USA/NE-CDC-QDX37911008/2022,6/7/22,894,81
USA/NH-Broad-CRSP_46YSFGZ7FID6RK2Z/2022,5/3/22,859,80
USA/NH-Broad-CRSP_EAJPX3D7FBGS2XIW/2022,3/16/22,811,60
USA/NH-CDC-LC0584897/2022,4/14/22,840,80
USA/NH-CDC-LC0693137/2022,6/7/22,894,77
USA/NH-CDCBI-CRSP_5747FKNF32XKKSLU/2022,2/3/22,770,57
USA/NH-CDCBI-CRSP_F7E6YGTI3TQHBDHD/2021,7/6/21,558,34
USA/NH-CDCBI-CRSP_KRJXSSUTVAWPWVOW/2022,7/1/22,918,83
USA/NH-CDCBI-CRSP_ODD6CARI2GH57B3O/2022,1/24/22,760,62
USA/NJ-CDC-ASC210561945/2021,12/28/21,733,56
USA/NJ-CDC-LC0508500/2022,1/26/22,762,59
USA/NJ-CDC-LC0553922/2022,2/24/22,791,60
USA/NJ-CDC-LC0564389/2022,3/11/22,806,57
USA/NJ-CDC-LC0580901/2022,4/14/22,840,74
USA/NJ-CDC-LC0626018/2022,5/9/22,865,78
USA/NJ-CDC-STM-2BS6F3GQY/2022,6/26/22,913,84
USA/NJ-CDC-STM-6QQ65DD2F/2022,7/3/22,920,87
USA/NJ-QDX-4480/2020,9/10/20,259,14
USA/NJ-UW-755/2020,7/7/20,194,12
USA/NM-CDC-ASC210823124/2022,2/21/22,788,58
USA/NM-CDC-LC0565496/2022,3/9/22,804,60
USA/NM-CDC-LC0591296/2022,4/19/22,845,77
USA/NM-CDC-LC0697175/2022,5/31/22,887,79
USA/NM-CDC-LC0716795/2022,6/10/22,897,85
USA/NM-CDC-STM-E22XU9B8X/2022,7/1/22,918,86
USA/NM-UNM-ED_02159/2022,1/30/22,766,58
USA/NMDOH-2021168676/2021,9/8/21,622,36
USA/NMDOH-2021200996/2021,10/22/21,666,41
USA/NV-CDC-ASC210737667/2022,3/20/22,815,77
USA/NV-CDC-LC0045443/2021,4/12/21,473,41
USA/NV-CDC-LC0512170/2022,1/20/22,756,58
USA/NV-CDC-LC0589475/2022,4/10/22,836,76
USA/NV-CDC-LC0746048/2022,6/21/22,908,84
USA/NV-CDC-QDX22632115/2021,3/2/21,432,31
USA/NV-CDC-QDX26574451/2021,7/7/21,559,39
USA/NV-CDC-QDX37055262/2022,5/16/22,872,82
USA/NV-CDC-STM-8JPX7BE2E/2022,2/7/22,774,59
USA/NV-CDC-STM-Z7FX6YBUX/2022,7/3/22,920,85
USA/NV-QDX-3560/2020,10/25/20,304,17
USA/NY_MEDDAC_FD_367/2022,1/3/22,739,58
USA/NY-CDC-IBX393212727336/2022,1/27/22,763,59
USA/NY-CDC-LC0095974/2021,7/8/21,560,38
USA/NY-CDC-LC0571601/2022,3/30/22,825,81
USA/NY-CDC-LC0638541/2022,5/12/22,868,82
USA/NY-CDC-LC0742290/2022,6/23/22,910,82
USA/NY-CDC-LC0755960/2022,7/2/22,919,82
USA/NY-CDC-QDX35624216/2022,4/5/22,831,63
USA/NY-CDC-STM-QQJ7ZJ6RG/2021,10/21/21,665,36
USA/NY-CDCBI-CRSP_SN67ICT5SINHZ7ZF/2022,2/7/22,774,57
USA/NY1-PV08001/2020,2/29/20,65,7
USA/OH-CDC-ASC210730490/2022,2/27/22,794,60
USA/OH-CDC-LC0270340/2021,8/31/21,614,39
USA/OH-CDC-LC0726787/2022,6/16/22,903,81
USA/OH-CDC-LC0756144/2022,7/1/22,918,79
USA/OH-CDC-MMB10668743/2021,9/27/21,641,41
USA/OH-CDC-MMB13799506/2022,1/23/22,759,60
USA/OH-CDC-MMB14897694/2022,3/31/22,826,78
USA/OH-CDC-QDX35777309/2022,4/9/22,835,79
USA/OH-CDC-QDX36901345/2022,5/10/22,866,81
USA/OH-QDX-2655/2020,3/15/20,80,4
USA/OK-CDC-QDX35734134/2022,4/7/22,833,81
USA/OK-CDC-QDX37662723/2022,6/2/22,889,81
USA/OK-CDC-STM-P4FQPJVFX/2022,7/5/22,922,83
USA/OKPHL0014368/2022,1/18/22,754,59
USA/OKPHL0016231/2022,2/19/22,786,58
USA/OKPHLCOV0008056/2021,9/28/21,642,39
USA/OR-CDC-2-5693054/2022,2/8/22,775,60
USA/OR-CDC-ASC210852805/2022,4/6/22,832,77
USA/OR-CDC-LC0033849/2021,3/17/21,447,37
USA/OR-CDC-LC0568382/2022,3/24/22,819,77
USA/OR-CDC-LC0724380/2022,6/15/22,902,80
USA/OR-CDC-UW22012462304/2022,1/24/22,760,59
USA/OSPHL05762/2022,5/18/22,874,81
USA/OSPHL05853/2022,5/22/22,878,79
USA/OSPHL06365/2022,7/5/22,922,83
USA/PA-CDC-ASC210495775/2021,10/25/21,669,37
USA/PA-CDC-ASC210541461/2022,1/21/22,757,55
USA/PA-CDC-LC0591878/2022,4/25/22,851,81
USA/PA-CDC-LC0676665/2022,5/28/22,884,76
USA/PA-CDC-MMB10639223/2021,9/23/21,637,35
USA/PA-CDC-QDX33633294/2022,2/4/22,771,60
USA/PA-CDC-QDX38152774/2022,6/17/22,904,83
USA/PA-CDC-STM-A100104/2021,1/3/21,374,17
USA/PA-CDC-STM-DZZ2TT2BM/2022,7/3/22,920,93
USA/PA-CDC-STM-J725H2S4H/2022,3/25/22,820,78
USA/PA-QDX-25952318/2021,6/15/21,537,43
USA/PR-CDC-2-5508390/2022,1/19/22,755,58
USA/PR-CDC-ASC210722950/2022,4/5/22,831,77
USA/PR-CDC-ASC210857649/2022,2/14/22,781,57
USA/PR-CDC-LC0629230/2022,5/11/22,867,74
USA/PR-CDC-LC0727438/2022,6/16/22,903,88
USA/PR-CDC-S19/2020,4/1/20,97,9
USA/PR-CDC-S5/2020,3/23/20,88,7
USA/RI-Broad_RIDOH-00088/2020,12/7/20,347,19
USA/RI-CDC-LC0671144/2022,5/19/22,875,82
USA/RI-CDC-LC0693877/2022,6/6/22,893,84
USA/RI-CDC-LC0755955/2022,7/2/22,919,90
USA/RI-CDC-QDX36361377/2022,4/22/22,848,79
USA/RI-CDCBI-RIDOH_GE3XBKIDN6XQD66M/2022,1/3/22,739,56
USA/RI-CDCBI-RIDOH_JISDOSZCSNPX24QY/2022,2/8/22,775,58
USA/RI-CDCBI-RIDOH_QCTGAVHHPYVOHA3C/2022,1/28/22,764,60
USA/RI-CDCBI-RIDOH_YINOXAQVFCYPEVWP/2021,9/19/21,633,38
USA/S68E2_534617/2022,4/28/22,854,79
USA/SC-CDC-LC0681592/2022,6/2/22,889,82
USA/SC-CDC-QDX36219025/2022,4/19/22,845,76
USA/SC-CDC-QDX37100408/2022,5/17/22,873,83
USA/SC-CDC-STM-KC9YEQD8Z/2022,7/2/22,919,87
USA/SC-COVID22-1311/2022,1/29/22,765,62
USA/SC-COVID22-2009/2022,2/8/22,775,58
USA/SC-COVID22-2813/2022,3/24/22,819,79
USA/SD-CDC-2-5173534/2021,11/4/21,679,43
USA/SD-CDC-2-6163345/2022,6/15/22,902,81
USA/SD-CDC-IBX010761942226/2022,2/11/22,778,59
USA/SD-SDPHL-0361/2020,3/13/20,78,8
USA/SD-SDPHL-0392/2020,9/9/20,258,7
USA/SD-UMGC-68433/2022,5/12/22,868,83
USA/SRL_254602760/2020,8/20/20,238,13
USA/TG1193006/2022,1/21/22,757,56
USA/TG1266404/2022,3/4/22,799,57
USA/TG1311865/2022,4/5/22,831,82
USA/TG1342895/2022,5/9/22,865,59
USA/TG758799/2020,12/1/20,341,22
USA/TG968055/2020,9/17/20,266,21
USA/TN-CDC-ASC210061897/2021,5/11/21,502,37
USA/TN-CDC-ASC210480573/2021,11/16/21,691,42
USA/TN-CDC-ASC210688992/2022,1/26/22,762,63
USA/TN-CDC-ASC210697626/2022,2/1/22,768,58
USA/TN-CDC-ASC210736776/2022,3/19/22,814,76
USA/TN-CDC-LC0657386/2022,5/18/22,874,81
USA/TN-CDC-LC0755465/2022,7/1/22,918,84
USA/TN-CDC-QDX36017851/2022,4/16/22,842,77
USA/TN-CDC-STM-M5M9H95J4/2022,6/28/22,915,82
USA/TN-SPHL-0541/2021,2/9/21,411,36
USA/TX-CDC-03050000-001/2020,2/11/20,47,7
USA/TX-CDC-ASC210551115/2022,2/9/22,776,58
USA/TX-CDC-ASC210738599/2022,3/24/22,819,76
USA/TX-CDC-FG-248901/2022,1/20/22,756,57
USA/TX-CDC-QDX22357604/2021,2/23/21,425,18
USA/TX-CDC-QDX24758274/2021,5/8/21,499,39
USA/TX-CDC-QDX36513698/2022,4/29/22,855,79
USA/TX-CDC-STM-586A8KFKH/2022,7/5/22,922,82
USA/TX-CDC-STM-DMWDWZN7C/2022,5/28/22,884,82
USA/TX-CDC-STM-WEU24JEJ3/2022,6/13/22,900,86
USA/TX-DSHS-1284/2020,3/31/20,96,7
USA/UT-CDC-ASC210601983/2022,1/19/22,755,56
USA/UT-CDC-ASC210862950/2022,2/16/22,783,57
USA/UT-CDC-LC0390416/2021,11/15/21,690,40
USA/UT-CDC-LC0568561/2022,3/22/22,817,60
USA/UT-CDC-QDX37300418/2022,5/22/22,878,79
USA/UT-IDEL20220621023_MN908947.3_consensus/2022,6/16/22,903,80
USA/V02792/2022,1/12/22,748,58
USA/VA_NIDDL_20563/2020,8/25/20,243,15
USA/VA_NIDDL_21711/2020,9/3/20,252,17
USA/VA-CDC-ASC210092311/2021,9/23/21,637,41
USA/VA-CDC-ASC210684521/2022,1/26/22,762,57
USA/VA-CDC-ASC210721183/2022,3/29/22,824,73
USA/VA-CDC-ASC210725183/2022,4/8/22,834,75
USA/VA-CDC-LC0729780/2022,6/23/22,910,89
USA/VA-CDC-LC0753205/2022,7/1/22,918,82
USA/VA-CDC-QDX25392280/2021,5/27/21,518,36
USA/VA-CDC-QDX37009572/2022,5/15/22,871,79
USA/VA-QDX-2211/2020,3/15/20,80,6
USA/VA-VTVAS3-GSC33780/2022,2/8/22,775,58
USA/VI-CDC-2-4122442/2021,2/18/21,420,32
USA/VI-CDC-2-5350121/2021,12/22/21,727,57
USA/VI-CDC-2-5442303/2022,1/5/22,741,60
USA/VI-CDC-2-5541874/2022,1/21/22,757,60
USA/VI-CDC-2-5642100/2022,2/3/22,770,58
USA/VI-CDC-2-5876387/2022,3/29/22,824,76
USA/VI-CDC-2-5947159/2022,4/13/22,839,76
USA/VI-CDC-2-6114662/2022,6/3/22,890,78
USA/VI-CDC-2-6138467/2022,5/16/22,872,83
USA/VI-CDC-ASC210335581/2021,9/23/21,637,41
USA/VI-CDC-STM-000714738/2021,7/31/21,583,35
USA/VT-Broad-CRSP_4SYV24CS436L3JDI/2022,4/10/22,836,80
USA/VT-Broad-CRSP_5RHV32X7MJHHS6KV/2022,5/6/22,862,81
USA/VT-Broad-CRSP_ZKCCIXKU4EQLQCY3/2022,3/9/22,804,75
USA/VT-CDC-03068154-001/2020,3/5/20,70,5
USA/VT-CDC-2-4044610/2020,11/27/20,337,24
USA/VT-CDCBI-CRSP_3LDLJJBN5K2X63H2/2021,7/7/21,559,33
USA/VT-CDCBI-CRSP_45F25M2ZRY7RC7KG/2022,2/2/22,769,56
USA/VT-CDCBI-CRSP_DOW5MCPJUVSF5DMO/2022,7/1/22,918,87
USA/VT-CDCBI-CRSP_OVXLPLNDYHVSPYXU/2022,6/7/22,894,83
USA/VT-CDCBI-CRSP_ULEPIHMQCD3KGD42/2022,1/20/22,756,58
USA/WA-CDC-LC0602655/2022,4/27/22,853,75
USA/WA-CDC-QDX33873828/2022,2/10/22,777,59
USA/WA-CDC-QDX35374746/2022,3/27/22,822,79
USA/WA-CDC-UW22061918176/2022,6/19/22,906,84
USA/WA-CDC-UW22070591435/2022,7/5/22,922,84
USA/WA-S18669/2022,1/25/22,761,58
USA/WA-S20490/2022,5/31/22,887,83
USA/WA-UW-66922/2021,3/8/21,438,23
USA/WI-CDC-ASC210033523/2021,4/26/21,487,37
USA/WI-CDC-ASC210554026/2022,2/12/22,779,61
USA/WI-CDC-ASC210754803/2022,3/1/22,796,60
USA/WI-CDC-FG-260132/2022,1/31/22,767,55
USA/WI-CDC-LC0756807/2022,7/3/22,920,83
USA/WI-CDC-QDX36019006/2022,4/16/22,842,78
USA/WI-CDC-QDX37056195/2022,5/16/22,872,82
USA/WI-CDC-QDX38155185/2022,6/17/22,904,82
USA/WI-UW-2166/2020,10/14/20,293,18
USA/WV-CDC-ASC210646867/2022,1/31/22,767,61
USA/WV-CDC-IBX499537736966/2021,12/7/21,712,38
USA/WV-CDC-LC0557458/2022,2/25/22,792,59
USA/WV-CDC-LC0563319/2022,3/9/22,804,58
USA/WV-CDC-LC0574239/2022,4/7/22,833,59
USA/WV-CDC-LC0621358/2022,5/5/22,861,77
USA/WV-CDC-LC0726881/2022,6/14/22,901,83
USA/WV-CDC-STM-US64B6TR9/2022,7/5/22,922,83
USA/WY-CDC-2-4718550/2021,7/28/21,580,38
USA/WY-CDC-ASC210601630/2022,1/18/22,754,59
USA/WY-CDC-ASC210647916/2022,2/1/22,768,56
USA/WY-CDC-ASC210755371/2022,3/1/22,796,61
USA/WY-CDC-ASC210851708/2022,4/4/22,830,57
USA/WY-CDC-LC0704300/2022,6/2/22,889,87
USA/WY-WYPHL-20007411/2020,4/2/20,98,7
USA/WY-WYPHL-20011656/2020,5/1/20,127,11
UZB/hCoV-19-Uzb-CGB-38/2021,7/23/21,575,42
UZB/hCoV-19-Uzb-CGB-48/2021,7/23/21,575,43
UZB/UZB-390/2021,6/25/21,547,31
VEN/1Z/2020,3/16/20,81,11
VEN/3NE/2020,4/10/20,106,11
VEN/Ama1935/2021,4/19/21,480,41
VEN/Ara6800/2021,5/10/21,501,42
VEN/Bol4715/2021,1/1/21,372,37
VEN/Dtt54/2021,3/13/21,443,36
VEN/LaG1414/2021,2/28/21,430,23
VNM/HCMC_103/2021,7/17/21,569,31
VNM/HCMC_115/2021,7/18/21,570,31
VNM/HCMC_140/2021,7/25/21,577,30
VNM/HCMC_587/2021,11/15/21,690,37
VNM/OUCRU-NHTD1004/2022,4/28/22,854,77
VNM/OUCRU-NHTD1020/2022,5/1/22,857,81
VNM/OUCRU-NHTD1023/2022,5/3/22,859,80
VNM/OUCRU-NHTD1025/2022,5/3/22,859,80
VNM/OUCRU-NHTD1031/2022,5/7/22,863,79
VNM/OUCRU-NHTD1038/2022,5/8/22,864,79
VNM/OUCRU-NHTD1046/2022,5/9/22,865,76
VNM/OUCRU-NHTD1060/2022,5/13/22,869,83
VNM/OUCRU-NHTD1069/2022,5/17/22,873,77
VNM/OUCRU-NHTD1072/2022,5/17/22,873,79
VNM/OUCRU-NHTD1077/2022,5/19/22,875,81
VNM/OUCRU-NHTD1085/2022,5/19/22,875,80
VNM/OUCRU-NHTD1087/2022,5/12/22,868,81
VNM/OUCRU-NHTD113/2021,9/9/21,623,32
VNM/OUCRU-NHTD434/2021,6/1/21,523,29
VNM/OUCRU-NHTD563/2022,2/5/22,772,37
VNM/OUCRU-NHTD566/2022,2/6/22,773,42
VNM/OUCRU-NHTD571/2022,2/6/22,773,37
VNM/OUCRU-NHTD581/2022,2/7/22,774,39
VNM/OUCRU-NHTD594/2022,2/8/22,775,39
VNM/OUCRU-NHTD596/2022,2/9/22,776,37
VNM/OUCRU-NHTD602/2022,2/10/22,777,40
VNM/OUCRU-NHTD609/2022,2/17/22,784,57
VNM/OUCRU-NHTD613/2022,2/17/22,784,63
VNM/OUCRU-NHTD621/2022,2/18/22,785,76
VNM/OUCRU-NHTD626/2022,2/18/22,785,59
VNM/OUCRU-NHTD629/2022,2/19/22,786,43
VNM/OUCRU-NHTD646/2022,2/21/22,788,77
VNM/OUCRU-NHTD664/2022,3/3/22,798,78
VNM/OUCRU-NHTD668/2022,3/3/22,798,77
VNM/OUCRU-NHTD670/2022,3/3/22,798,75
VNM/OUCRU-NHTD676/2022,3/3/22,798,76
VNM/OUCRU-NHTD706/2022,3/6/22,801,77
VNM/OUCRU-NHTD714/2022,3/6/22,801,79
VNM/OUCRU-NHTD733/2022,3/9/22,804,78
VNM/OUCRU-NHTD735/2022,3/9/22,804,80
VNM/OUCRU-NHTD757/2022,3/12/22,807,76
VNM/OUCRU-NHTD770/2022,3/14/22,809,77
VNM/OUCRU-NHTD785/2022,3/15/22,810,77
VNM/OUCRU-NHTD794/2022,3/17/22,812,77
VNM/OUCRU-NHTD831/2022,3/23/22,818,77
VNM/OUCRU-NHTD838/2022,3/25/22,820,77
VNM/OUCRU-NHTD859/2022,4/2/22,828,78
VNM/OUCRU-NHTD860/2022,4/2/22,828,77
VNM/OUCRU-NHTD870/2022,4/3/22,829,76
VNM/OUCRU-NHTD876/2022,4/3/22,829,82
VNM/OUCRU-NHTD882/2022,4/4/22,830,77
VNM/OUCRU-NHTD884/2022,4/4/22,830,82
VNM/OUCRU-NHTD888/2022,4/4/22,830,74
VNM/OUCRU-NHTD891/2022,4/5/22,831,76
VNM/OUCRU-NHTD898/2022,4/6/22,832,77
VNM/OUCRU-NHTD923/2022,4/12/22,838,75
VNM/OUCRU-NHTD942/2022,4/11/22,837,81
VNM/OUCRU-NHTD954/2022,4/19/22,845,83
VNM/OUCRU-NHTD998/2022,4/27/22,853,77
WestBank/28_2201_469_S5/2022,1/18/22,754,57
WestBank/28_2201_511_S3/2022,1/20/22,756,61
WestBank/MS_2201_990_S27/2022,1/19/22,755,59
WestBank/MT_2201_530_S36/2022,1/8/22,744,54
Wuhan-Hu-1/2019,12/26/19,0,0
Wuhan/WH01/2019,12/26/19,0,2
ZAF/SCV2-GP-N911/2022,2/4/22,771,54
ZAF/SCV2-GP-N921/2022,2/7/22,774,75
ZAF/SCV2-GP-N945/2022,2/8/22,775,73
ZAF/SCV2-GP-N994/2022,2/10/22,777,73
ZAF/SCV2-GP-O004/2022,2/11/22,778,74
ZAF/SCV2-GS-BC80/2022,2/7/22,774,76
ZAF/SCV2-GS-BC83/2022,2/7/22,774,77
ZAF/SCV2-GS-BC84/2022,2/7/22,774,55
ZAF/SCV2-GS-BC96/2022,2/10/22,777,75
ZAF/SCV2-GS-BD04/2022,2/8/22,775,74
ZAF/SCV2-LA-Z876/2022,2/9/22,776,75
ZAF/SCV2-LA-Z879/2022,2/9/22,776,73
ZAF/SCV2-LA-Z883/2022,2/9/22,776,77
