strain,date,url,clade_membership,current_frequency,mutational_fitness,country,region,division,genbank_accession,host,pango_lineage,S1_mutations,epiweek,emerging_lineage,recency,author,accession,submitting_lab,originating_lab,logistic_growth
USA/MD-MDH-0160/2020,2020-07-15,,20C,,-0.01,USA,North America,Maryland,MT937823,Homo sapiens,B.1.369,1,202029,,Older,Keller et al B,,,,
USA/RI-Broad_RIDOH-00088/2020,2020-12-07,,20C,,0.03,USA,North America,Rhode Island,MW521650,Homo sapiens,B.1.375,3,202050,,Older,Lemieux et al B,,Broad Institute Genomic Center for Infectious Diseases,Rhode Island Department of Health,
USA/MA-MGH-00954/2020,2020-05-02,,20C,,-0.03,USA,North America,New Hampshire,MT873210,Homo sapiens,B.1.268,1,202018,,Older,Lemieux et al C,,,Massachusetts Department of Public Health,
USA/PR-CDC-S5/2020,2020-03-23,,20C,,-0.03,USA,North America,Puerto Rico,MT419814,Homo sapiens,B.1,1,202013,,Older,Santiago et al B,,,,
UGA/MUWRP-KIR200098/2020,2020-08-26,,20C,,-0.03,Uganda,Africa,Uganda,OM811376,Homo sapiens,B.1,1,202035,,Older,Byarugaba et al D,,,,
KEN/C71404/2020,2020-11-12,,20C,,-0.03,Kenya,Africa,Kenya,OL691451,Homo sapiens,B.1,1,202046,,Older,Githinji et al B,,,,
USA/TX-DSHS-1284/2020,2020-03-31,,20C,,-0.03,USA,North America,Texas,MW284563,Homo sapiens,B.1,1,202014,,Older,Pedrueza et al,,Texas Department of State Health Services-SARS-CoV-2 submission group,Texas Department of State Health Services,
COL/Cali-01/2020,2020-04-02,,20C,,-0.03,Colombia,South America,Colombia,MT470219,Homo sapiens,B.1,1,202014,,Older,Lopez et al,,,,
USA/WY-WYPHL-20007411/2020,2020-04-02,,20C,,-0.03,USA,North America,Wyoming,MT791312,Homo sapiens,B.1,1,202014,,Older,Hull et al B,,Wyoming Public Health Laboratory,Wyoming Public Health Laboratory,
GEO/MM001352/2020,2020-04-04,,20C,,-0.03,Georgia,Asia,Georgia (Asia),MT291844,Homo sapiens,B.1,1,202014,,Older,Murtskhvaladze et al,,,,
GEO/Tb-27822/2020,2020-06-11,,20C,,0,Georgia,Asia,Georgia (Asia),MT834849,Homo sapiens,B.1,1,202024,,Older,Pantsulaia et al,,,,
USA/IN-QDX-251/2020,2020-04-29,,20C,,-0.01,USA,North America,Indiana,MT806787,Homo sapiens,B.1,1,202018,,Older,Rosenthal et al G,,,,
USA/ND-NDDH-0015/2020,2020-05-02,,20C,,-0.03,USA,North America,North Dakota,MW471396,Homo sapiens,B.1,1,202018,,Older,Wingerter et al,,,,
USA/NJ-QDX-4480/2020,2020-09-10,,20C,,0.05,USA,North America,New Jersey,MW566542,Homo sapiens,B.1.293,1,202037,,Older,Rosenthal et al H,,,,
USA/ME-CDC-2-4068744/2020,2020-12-26,,20C,,0.06,USA,North America,Maine,MW708687,Homo sapiens,B.1.517,2,202052,,Older,Queen et al D,,,,
USA/20U189MD00114_2-23-2022/2020,2020-07-07,,20C,,-0.03,USA,North America,Arkansas,OM831427,Homo sapiens,B.1,2,202028,,Older,Harley et al A,,University of Arkansas Medical Sciences/Arkansas Children's Hospital,University of Arkansas for Medical Sciences,
USA/WA-UW-66922/2021,2021-03-08,,21C (Epsilon),,0.16,USA,North America,Washington,MZ360522,Homo sapiens,B.1.427,3,202110,,Older,Roychoudhury et al B,,,,
USA/VI-CDC-2-4122442/2021,2021-02-18,,21C (Epsilon),,0.12,USA,North America,Virgin Islands,MW897698,Homo sapiens,B.1.429,3,202107,,Older,Sheth et al C,,,,
USA/GU-CDC-2-4634663/2021,2021-02-18,,21C (Epsilon),,0.13,USA,North America,Guam,MZ666556,Homo sapiens,B.1.429,3,202107,,Older,Sheth et al D,,,,
USA/NV-CDC-QDX22632115/2021,2021-03-02,,21C (Epsilon),,0.17,USA,North America,Nevada,MW773419,Homo sapiens,B.1.429,3,202109,,Older,Cook et al E,,,,
USA/IA-CDC-ASC210025232/2021,2021-03-29,,21C (Epsilon),,0.17,USA,North America,Iowa,MZ023513,Homo sapiens,B.1.429,4,202113,,Older,Howard et al B,,,,
SouthAfrica/NHLS-UCT-GS-1387/2020,2020-11-12,,"20H (Beta, V2)",,0.3,South Africa,Africa,South Africa,OM725599,Homo sapiens,B.1.351,7,202046,,Older,Tegally et al A,,,,
PHL/COVID58236/2021,2021-04-07,,"20H (Beta, V2)",,0.35,Philippines,Asia,Manila,MZ068159,Homo sapiens,B.1.351,8,202114,,Older,Velasco et al B,,,,
SouthAfrica/NHLS-UCT-GS-B226/2021,2021-03-04,,"20H (Beta, V2)",,0.33,South Africa,Africa,South Africa,OM765305,Homo sapiens,B.1.351,7,202109,,Older,Viana et al B,,,,
NLD/EMC-Beta-1/2021,2021-01-20,,"20H (Beta, V2)",,0.32,Netherlands,Europe,Netherlands,OM286905,Homo sapiens,B.1.351,8,202103,,Older,GeurtsvanKessel et al,,,,
SouthAfrica/NHLS-UCT-GS-9661/2021,2021-01-04,,"20H (Beta, V2)",,0.36,South Africa,Africa,South Africa,OM739586,Homo sapiens,B.1.351,8,202101,,Older,Viana et al C,,,,
SYC/SS459/2021,2021-04-12,,"20H (Beta, V2)",,0.33,Seychelles,Africa,Seychelles,OK377354,Homo sapiens,B.1.351,9,202115,,Older,Githinji et al C,,,,
FRA/IHUCOVID-036077-NovaE/2021,2021-04-30,,"20H (Beta, V2)",,0.34,France,Europe,France,ON279260,Homo sapiens,B.1.351.2,8,202117,,Older,Levasseur et al D,,,,
MWI/MLW001015/2020,2020-12-23,,"20H (Beta, V2)",,0.35,Malawi,Africa,Malawi,ON099877,Homo sapiens,B.1.351,8,202052,,Older,Feasey et al A,,,,
IRL/AIIDV1752/2021,2021-02-24,,"20H (Beta, V2)",,0.35,Ireland,Europe,Dublin,ON350868,Homo sapiens,B.1.351,10,202108,,Older,O Reilly et al A,,,,
SOM/NAMRU3_Mog_54/2021,2021-02-28,,"20H (Beta, V2)",,0.33,Somalia,Africa,Somalia,OK018339,Homo sapiens,B.1.351,8,202109,,Older,Arnold et al E,,,,
IND/GBRC588/2021,2021-02-02,,"20H (Beta, V2)",,0.35,India,Asia,India,MZ317908,Homo sapiens,B.1.351,8,202105,,Older,Kumar et al A,,,,
KEN/C88566/2021,2021-03-23,,"20H (Beta, V2)",,0.35,Kenya,Africa,Kenya,OL914734,Homo sapiens,B.1.351,8,202112,,Older,Githinji et al D,,,,
MYS/NCOV2754/2021,2021-05-05,,"20H (Beta, V2)",,0.4,Malaysia,Asia,Malaysia,OM062521,Homo sapiens,B.1.351,8,202118,,Older,Chan et al B,,,,
DJI/NAMRU3_B347/2021,2021-04-03,,"20H (Beta, V2)",,0.39,Djibouti,Africa,Djibouti,OK018258,Homo sapiens,B.1.351,8,202113,,Older,Arnold et al F,,,,
SouthAfrica/NHLS-UCT-GS-B540/2021,2021-04-06,,"20H (Beta, V2)",,0.36,South Africa,Africa,South Africa,OM765415,Homo sapiens,B.1.351,9,202114,,Older,Viana et al D,,,,
USA/NJ-UW-755/2020,2020-07-07,,20A,,0.06,USA,North America,New Jersey,MT795870,Homo sapiens,B.1.139,1,202028,,Older,Moreno et al C,,,,
Belgium/42477217/2020,2020-10-09,,20A,,0.04,Belgium,Europe,Limburg BE,OU280445,Homo sapiens,B.1,2,202041,,Older,? E,,University Hospital Basel,"Clinical Virology, University Hospital Basel, Switzerland",
ITA/73702/2020,2020-02-28,,20A,,0.06,Italy,Europe,Italy,MT483881,Homo sapiens,B.1,1,202009,,Older,Bagnarelli et al,,,,
PER/covper048/2020,2020-06-24,,20A,,0.12,Peru,South America,Peru,MW030279,Homo sapiens,B.1.205,2,202026,,Older,Juscamayta et al C,,,,
PER/covper020/2020,2020-07-03,,20A,,0.09,Peru,South America,Peru,MW030251,Homo sapiens,B.1.205,1,202027,,Older,Juscamayta et al D,,,,
England/BRIS-125259/2020,2020-03-27,,20A,,0.03,United Kingdom,Europe,England,FR993883,Homo sapiens,B.1.379,2,202013,,Older,Hutchings et al,,Wellcome Sanger Institute,"PHE South West Regional Laboratory, National Infection Service",
IRL/AIIDV1446/2020,2020-12-03,,20E (EU1),,0.09,Ireland,Europe,Dublin,ON350866,Homo sapiens,B.1.177.18,3,202049,,Older,O Reilly et al B,,,,
OU076996,2020-09-10,,20E (EU1),,0.07,Germany,Europe,North Rhine Westphalia,OU076996,Homo sapiens,B.1.177,2,202037,,Older,? D,,Robert Koch Institute,"Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum, Immermannstr. 65a; 40210 Düsseldorf",
Switzerland/BL-ETHZ-380283/2020,2020-11-25,,20E (EU1),,0.1,Switzerland,Europe,Basel-Land,OE995425,Homo sapiens,B.1.177,3,202048,,Older,? F,,ETH ZURICH D-BSSE,"Computational evolution group,Mattenstrasse 26, Basel",
KOR/KCDC03-NCCP43346/2021,2021-02-24,,20E (EU1),,0.1,South Korea,Asia,South Korea,OM677989,Homo sapiens,B.1.177,2,202108,,Older,Kim et al,,,,
England/MILK-B88B5F/2020,2020-11-13,,20E (EU1),,0.12,United Kingdom,Europe,England,OD901238,Homo sapiens,B.1.177,4,202046,,Older,The Lighthouse Lab in Milton et al,,Wellcome Sanger Institute,Lighthouse Lab in Milton Keynes,
Estonia/Cov7298/2021,2021-01-02,,20E (EU1),,0.1,Estonia,Europe,Estonia,OU278660,Homo sapiens,B.1.177,3,202053,,Older,Avi et al B,,"Institute of Biomedicine and Translational Medicine, University of Tartu",,
SouthAfrica/NHLS-UCT-GS-0047/2020,2020-03-22,,20A,,0,South Africa,Africa,South Africa,OM725340,Homo sapiens,B.1.391,2,202013,,Older,Tegally et al B,,,,
Neovisonvison/NLD/NB68-031-TS/2020,2020-11-03,,20A,,0,Netherlands,Europe,Netherlands,OM758340,Neogale vison,B.1.8,4,202045,,Older,Vreeman et al A,,,,
Neovisonvison/NLD/NB68-41-TS/2020,2020-11-03,,20A,,0.01,Netherlands,Europe,Netherlands,OM758352,Neogale vison,B.1.8,4,202045,,Older,Vreeman et al B,,,,
ITA/Nuoro-CoV134/2020,2020-04-28,,20A,,0.03,Italy,Europe,Sardinia,MW403693,Homo sapiens,B.1,1,202018,,Older,Piras et al,,,,
USA/1089488/2020,2020-07-01,,20A,,0.09,USA,North America,Iowa,ON184827,Homo sapiens,B.1,1,202027,,Older,Reeb et al B,,State Hygienic Laboratory at the University of Iowa,State Hygienic Laboratory at the University of Iowa,
NZL/20VR2528/2020,2020-03-25,,20A,,0.03,New Zealand,Oceania,New Zealand,MZ332254,Homo sapiens,B.1.545,1,202013,,Older,Geoghegan et al A,,Institute of Environmental Science and Research,,
NZL/20VR2733/2020,2020-03-26,,20A,,0.03,New Zealand,Oceania,New Zealand,MZ332332,Homo sapiens,B.1.545,1,202013,,Older,Geoghegan et al B,,Institute of Environmental Science and Research,,
MEX/BCN-479/2020,2020-04-30,,20A,,0.04,Mexico,North America,Mexico,OK435208,Homo sapiens,B.1,1,202018,,Older,Taboada et al A,,,,
OV009565,2020-08-23,,20A,,0.1,Saudi Arabia,Asia,Madinah,OV009565,Homo sapiens,B.1.398,2,202035,,Older,Naeem et al C,,King Abdullah University of Science and Technology,King Abdullah University of Science and Technology (KAUST),
MYS/USM_Monash_JKNK_C9619/2020,2020-11-25,,20A,,0.06,Malaysia,Asia,Malaysia,MZ461920,Homo sapiens,B.1.524,1,202048,,Older,Chan et al C,,,,
England/LOND-125FBEE/2020,2020-03-10,,20A,,0.03,United Kingdom,Europe,England,OA967475,Homo sapiens,B.1,1,202011,,Older,Li et al A,,Wellcome Sanger Institute,"North West London Pathology, Imperial College Healthcare NHS Trust",
USA/OH-QDX-2655/2020,2020-03-15,,20A,,0.03,USA,North America,Ohio,MW191394,Homo sapiens,B.1,1,202012,,Older,Rosenthal et al I,,Quest Diagnostics,Quest Diagnostics,
UGA/MAKCHScov8/2021,2021-02-19,,20A,,0.08,Uganda,Africa,Uganda,MZ287370,Homo sapiens,B.1.393,3,202107,,Older,Mwesigwa et al A,,,,
BRA/RJ-DCVN3/2020,2020-07-20,,20A,,0.03,Brazil,South America,Brazil,MT835027,Homo sapiens,B.1,1,202030,,Older,Souza et al A,,,,
SouthAfrica/NHLS-UCT-GP-5032/2020,2020-04-16,,20A,,0.03,South Africa,Africa,South Africa,OM720803,Homo sapiens,B.1,1,202016,,Older,Tegally et al C,,,,
ITA/Siena_15/2020,2020-05-14,,20A,,0.02,Italy,Europe,Tuscany,MW134570,Homo sapiens,B.1,1,202020,,Older,Cusi et al,,University of Siena,,
MLI/UCRC68/2020,2020-03-18,,20A,,0.03,Mali,Africa,Mali,MW474739,Homo sapiens,B.1,1,202012,,Older,Diarra et al B,,,,
POL/PL_MCB_57/2020,2020-06-06,,20A,,0.02,Poland,Europe,Poland,MW273839,Homo sapiens,B.1.213,1,202023,,Older,Kowalski et al A,,,,
GIN/C2/2020,2020-05-13,,20A,,0.02,Guinea,Africa,Guinea,MZ622025,Homo sapiens,B.1,1,202020,,Older,Krasnov et al A,,,,
HG994274,2020-11-05,,20A,,0.05,Poland,Europe,Wielkopolskie,HG994274,Homo sapiens,B.1.221,2,202045,,Older,? G,,COVID-HUB-PL,Szpital Pomnik Chrztu Polski,
Iceland/5155/2020,2020-12-23,,20A,,0.07,Iceland,Europe,Iceland,OU166840,Homo sapiens,B.1.221,2,202052,,Older,Jonsson et al B,,DECODE GENETICS,deCODE genetics,
GAB/5729_Gabon/2021,2021-06-02,,20A,,0.43,Gabon,Africa,Gabon,OM732182,Homo sapiens,B.1.620,10,202122,,Older,Lekana-Douki et al B,,,,
UGA/MAKCHScov19/2020,2020-10-22,,20A,,0.08,Uganda,Africa,Uganda,MZ287360,Homo sapiens,B.1.214,1,202043,,Older,Mwesigwa et al B,,,,
SRB/SU10136-06-05/2020,2020-05-05,,20A,,0.06,Serbia,Europe,North Bačka District,MW327521,Homo sapiens,B.1,1,202019,,Older,Vidanovic et al A,,,,
Iceland/1241/2020,2020-03-24,,20A,,0.04,Iceland,Europe,Iceland,OU181353,Homo sapiens,B.1,1,202013,,Older,Jonsson et al C,,DECODE GENETICS,The National University Hospital of Iceland,
AUS/QLD935/2020,2020-03-25,,20A,,0.02,Australia,Oceania,Australia,MZ410587,Homo sapiens,B.1,1,202013,,Older,Parry et al B,,,,
Switzerland/GE-SNRCI-29943121/2020,2020-02-27,,20A,,0.03,Switzerland,Europe,Geneva,FR993360,Homo sapiens,B.1,1,202009,,Older,? H,,HUG,"Laboratoire de virologie,Rue Gabrielle Perret-Gentil 4, Geneva",
ARG/Cordoba-189-251/2020,2020-05-16,,20A,,0.06,Argentina,South America,Argentina,MW553299,Homo sapiens,B.1,1,202020,,Older,Direct Submission et al B,,,,
ARG/Cordoba-11300-61/2020,2020-06-04,,20A,,0.06,Argentina,South America,Argentina,MW553301,Homo sapiens,B.1,1,202023,,Older,Direct Submission et al C,,,,
CHL/Santiago-MCC9783/2020,2020-05-06,,20A,,0.05,Chile,South America,Chile,MW365256,Homo sapiens,B.1,1,202019,,Older,Direct Submission et al D,,,,
CZE/JCUCB118-181/2020,2020-11-23,,20A,,0.08,Czech Republic,Europe,Czech Republic,OK180974,Homo sapiens,B.1.258,4,202048,,Older,Maskova et al,,,,
HG994258,2020-12-20,,20A,,0.11,Poland,Europe,Wielkopolskie,HG994258,Homo sapiens,B.1.258,3,202052,,Older,? G,,COVID-HUB-PL,Szpital Pomnik Chrztu Polski,
Iceland/3653/2020,2021-01-05,,20A,,0.09,Iceland,Europe,Iceland,OU164477,Homo sapiens,B.1.258,3,202101,,Older,Jonsson et al D,,DECODE GENETICS,deCODE genetics,
FIN/FIN22-H10-THL-202039825/2020,2020-11-30,,20A,,0.09,Finland,Europe,Finland,ON532015,Homo sapiens,B.1.258,3,202049,,Older,Laine et al B,,,,
OU026734,2021-02-15,,20A,,0.05,Poland,Europe,Slaskie,OU026734,Homo sapiens,B.1.258,3,202107,,Older,? G,,COVID-HUB-PL,"Gyncentrum, Sosnowiec, Poland",
LR884098,2020-04-18,,20A,,0.03,Spain,Europe,Spain,LR884098,Homo sapiens,B.1,1,202016,,Older,Viedma et al,,HOSPITAL UNIVERSITARY 12 DE OCTUBRE,Hospital Universitario La Paz,
GRC/220_35357/2020,2020-03-18,,20A,,0.03,Greece,Europe,Athens,MT459888,Homo sapiens,B.1,1,202012,,Older,Kassela et al C,,,,
KEN/C17469/2020,2020-06-13,,20A,,0.07,Kenya,Africa,Kenya,MW751379,Homo sapiens,B.1,1,202024,,Older,Githinji et al E,,,,
VEN/LaG1414/2021,2021-02-28,,20A,,0.21,Venezuela,South America,Venezuela,MZ611973,Homo sapiens,B.1,3,202109,,Older,Pujol et al A,,,,
SouthAfrica/NHLS-UCT-GP-5023/2020,2020-04-15,,20A,,0.04,South Africa,Africa,South Africa,OM720801,Homo sapiens,B.1.381,1,202016,,Older,Tegally et al D,,,,
USA/VA_NIDDL_21711/2020,2020-09-03,,20A,,0.16,USA,North America,Virginia,MW976926,Homo sapiens,B.1,1,202036,,Older,Voegtly et al A,,,,
MEX/B741/2020,2020-10-02,,20A,,0.05,Mexico,North America,Mexico,OL790190,Homo sapiens,B.1.609,1,202040,,Older,Pedraza-Escalona et al,,,,
USA/LA-BIE-PBR231/2020,2020-07-18,,20A,,0.03,USA,North America,Louisiana,MZ367262,Homo sapiens,B.1.243,1,202029,,Older,Lamers et al,,,,
USA/NV-QDX-3560/2020,2020-10-25,,20A,,0.04,USA,North America,Nevada,MW521753,Homo sapiens,B.1.243,2,202044,,Older,Rosenthal et al J,,,,
USA/MP-CDC-2-3831041/2020,2020-11-14,,20A,,0.11,USA,North America,Northern Mariana Islands,MZ779320,Homo sapiens,B.1.243,3,202046,,Older,Sheth et al E,,,,
MEX/CMX-154/2020,2020-09-24,,20A,,0.07,Mexico,North America,Mexico,OK435516,Homo sapiens,B.1.243,1,202039,,Older,Taboada et al B,,,,
USA/GA-EHC-486T/2020,2020-08-01,,20A,,0.04,USA,North America,Georgia,MZ313036,Homo sapiens,B.1.240,1,202031,,Older,Piantadosi et al,,,,
USA/SRL_254602760/2020,2020-08-20,,20A,,0.04,USA,North America,Indiana,MZ147823,Homo sapiens,B.1.240,1,202034,,Older,Moller et al,,,,
USA/ME-CDC-QDX21715689/2021,2021-02-03,,20A,,0.06,USA,North America,Maine,MW668929,Homo sapiens,B.1.409,2,202105,,Older,Cook et al F,,,,
USA/AK-PHL7211/2021,2021-02-15,,20A,,0.06,USA,North America,Alaska,MZ233845,Homo sapiens,B.1.234,4,202107,,Older,DeRonde et al A,,,,
SouthAfrica/NHLS-UCT-GS-2134/2020,2020-09-25,,20A,,0.04,South Africa,Africa,Western Cape Province,ON078436,Homo sapiens,B.1,1,202039,,Older,Viana et al E,,University of Cape Town and National Health Laboratory Service,Khayelethu Clinic wc KLC,
USA/SD-SDPHL-0392/2020,2020-09-09,,20A,,0.04,USA,North America,South Dakota,MZ444217,Homo sapiens,B.1,1,202037,,Older,Carlson et al B,,South Dakota Department of Health,South Dakota Public Health Laboratory,
SLE/SL34/2021,2021-06-07,,21D (Eta),,0.37,Sierra Leone,Africa,Sierra Leone,MZ854393,Homo sapiens,B.1.525,7,202123,,Older,Wurie et al A,,,,
NGA/BCVL-24703/2021,2021-03-02,,21D (Eta),,0.45,Nigeria,Africa,Oyo State,OL601845,Homo sapiens,B.1.525,7,202109,,Older,Lorenzo-Redondo et al A,,,,
NGA/BCVL-21226/2021,2021-01-22,,21D (Eta),,0.4,Nigeria,Africa,Oyo State,OL601656,Homo sapiens,B.1.525,7,202103,,Older,Lorenzo-Redondo et al B,,,,
NGA/BCVL-24573/2021,2021-02-26,,21D (Eta),,0.4,Nigeria,Africa,Oyo State,OL601835,Homo sapiens,B.1.525,8,202108,,Older,Lorenzo-Redondo et al C,,,,
MLI/MAL0138/2021,2021-05-05,,21D (Eta),,0.39,Mali,Africa,Bamako,OL601956,Homo sapiens,B.1.525,8,202118,,Older,Lorenzo-Redondo et al D,,,,
TGO/nmimr-TG-SARS-CoV-2-TGS-060-21/2021,2021-02-25,,21D (Eta),,0.4,Togo,Africa,Togo,MZ215674,Homo sapiens,B.1.525,7,202108,,Older,Halatoko et al A,,,,
FIN/FIN40-VE6-THL-202109869/2021,2021-03-19,,21B (Kappa),,0.39,Finland,Europe,Finland,OM680927,Homo sapiens,B.1.617.1,6,202111,,Older,Laine et al C,,,,
UZB/UZB-390/2021,2021-06-25,,21A (Delta),,0.76,Uzbekistan,Asia,Tashkent,MZ573386,Homo sapiens,B.1.617.2,8,202125,,Older,Abdullaev et al,,,,
IND/GBRC788/2021,2021-05-14,,21A (Delta),,0.75,India,Asia,India,MZ402742,Homo sapiens,B.1.617.2,9,202119,,Older,Kumar et al B,,,,
KEN/SS7191/2021,2021-06-10,,21A (Delta),,0.66,Kenya,Africa,Kenya,ON199077,Homo sapiens,B.1.617.2,8,202123,,Older,Githinji et al F,,,,
MNG/10011736/2021,2021-04-24,,21A (Delta),,0.65,Mongolia,Asia,Mongolia,OM190685,Homo sapiens,B.1.617.2,8,202116,,Older,Enkhbat et al A,,,,
MNG/10011812/2021,2021-09-08,,21A (Delta),,0.62,Mongolia,Asia,Mongolia,OM961241,Homo sapiens,B.1.617.2,8,202136,,Older,Enkhbat et al B,,,,
MAR/CNRST-IND01/2021,2021-04-22,,21A (Delta),,0.65,Morocco,Africa,Morocco,MZ208926,Homo sapiens,B.1.617.2,8,202116,,Older,Melloul et al,,,,
BGD/icddrb-CMOSH-CU-2553173/2021,2021-06-28,,21A (Delta),,0.66,Bangladesh,Asia,Chattogram,MZ674381,Homo sapiens,B.1.617.2,8,202126,,Older,Mannan et al,,,,
MWI/MLW001188/2021,2021-06-21,,21A (Delta),,0.65,Malawi,Africa,Malawi,ON099802,Homo sapiens,B.1.617.2,9,202125,,Older,Feasey et al B,,,,
MWI/MLW001193/2021,2021-07-14,,21A (Delta),,0.65,Malawi,Africa,Malawi,ON099916,Homo sapiens,B.1.617.2,9,202128,,Older,Feasey et al C,,,,
TWN/CGMH-CGU-100/2021,2021-11-20,,21A (Delta),,0.78,Taiwan,Asia,Taiwan,ON005352,Homo sapiens,AY.30,9,202146,,Older,Tsao et al B,,,,
THA/CONI-1171/2021,2021-08-28,,21A (Delta),,0.72,Thailand,Asia,Tak,ON909331,Homo sapiens,AY.30,8,202134,,One week ago,Batty et al G,,,,
THA/CONI-1265/2021,2021-11-12,,21A (Delta),,0.64,Thailand,Asia,Bangkok,ON909764,Homo sapiens,AY.30,8,202145,,One week ago,Batty et al H,,,,
UZB/hCoV-19-Uzb-CGB-38/2021,2021-07-23,,21I (Delta),,0.73,Uzbekistan,Asia,Tashkent,MZ892624,Homo sapiens,B.1.617.2,9,202129,,Older,Ayubov et al A,,,,
OV110683,2020-10-26,,21I (Delta),,0.81,Germany,Europe,North Rhine Westphalia,OV110683,Homo sapiens,AY.9.2,8,202044,,Older,? D,,Robert Koch Institute,"MVZ Labor Krone GbR, Siemensstraße 40; 32105 Bad Salzuflen",
SWE/000200117338/2021,2021-08-10,,21I (Delta),,0.85,Sweden,Europe,Sweden,MZ846201,Homo sapiens,AY.9.2,9,202132,,Older,Andersson et al,,,,
Argentina/UW21112608981/2021,2021-11-26,,21I (Delta),,0.83,Argentina,South America,Argentina,ON080878,Homo sapiens,AY.9.2,10,202147,,Older,Roychoudhury et al C,,,,
ESP/Rota_33/2021,2021-07-29,,21I (Delta),,0.8,Spain,Europe,Andalusia,MZ970713,Homo sapiens,AY.9.2,9,202130,,Older,Voegtly et al B,,,,
ESP/Rota_39/2021,2021-07-29,,21I (Delta),,0.8,Spain,Europe,Andalusia,MZ970714,Homo sapiens,AY.9.2,9,202130,,Older,Voegtly et al C,,,,
BHR/342398010/2021,2021-07-23,,21I (Delta),,0.74,Bahrain,Asia,Bahrain,MZ675409,Homo sapiens,AY.65,8,202129,,Older,Alwasti et al A,,,,
EGY/CCHE57357_Wave_4_096/2021,2021-10-21,,21I (Delta),,0.7,Egypt,Africa,Egypt,OL351396,Homo sapiens,AY.65,7,202142,,Older,Hatem et al A,,,,
TWN/CGMH-CGU-83/2021,2021-07-08,,21I (Delta),,0.78,Taiwan,Asia,Taiwan,ON005387,Homo sapiens,AY.68,11,202127,,Older,Tsao et al C,,,,
MMR/Kalay-dsmrc-026/2021,2021-08-11,,21I (Delta),,0.78,Myanmar,Asia,Myanmar,OK668279,Homo sapiens,B.1.617.2,8,202132,,Older,Oo et al A,,,,
MYS/C276/2022,2022-01-31,,21I (Delta),,0.82,Malaysia,Asia,Malaysia,ON527318,Homo sapiens,AY.59,9,202205,,Older,Chan et al D,,,,
USA/GA-GPHL-1929/2021,2021-09-20,,21I (Delta),,0.79,USA,North America,Georgia,OK394343,Homo sapiens,AY.47,10,202138,,Older,Parrott et al,,,,
USA/ND-CDC-2-5064188/2021,2021-10-07,,21I (Delta),,0.78,USA,North America,North Dakota,OL607379,Homo sapiens,AY.47,11,202140,,Older,Sheth et al F,,CDC DVD Genomics and DIscovery Team,ND Dept. of Health Laboratory Services-Microbiology,
USA/VI-CDC-STM-000714738/2021,2021-07-31,,21I (Delta),,0.77,USA,North America,Virgin Islands,OL526071,Homo sapiens,AY.26,9,202130,,Older,Howard et al C,,CDC-OAMD,'Helix',
USA/PA-CDC-MMB10639223/2021,2021-09-23,,21I (Delta),,0.78,USA,North America,Pennsylvania,OK619049,Homo sapiens,AY.26,10,202138,,Older,Howard et al D,,,,
Mexico/SO-SEARCH-106705/2021,2021-07-12,,21I (Delta),,0.77,Mexico,North America,Sonora,OK551752,Homo sapiens,AY.26,9,202128,,Older,Andersen et al,,SEARCH Alliance San Diego,"SEARCH Alliance San Diego with Abraham Campos Romero, Miguel A. Fernandez Rojas, Marco Antonio Luna Ruiz-Esparza, Jose Luis Moreno Camacho, Abraham Garcia Gil with the help of Salud Digna, A.C",
USA/ID-CDC-IBX139030642891/2021,2021-11-16,,21I (Delta),,0.87,USA,North America,Idaho,OL648469,Homo sapiens,AY.26,9,202146,,Older,Howard et al E,,CDC-OAMD,Infinity Biologix,
IND/INSACOG-GBRC1592/2021,2021-08-13,,21I (Delta),,0.74,India,Asia,India,OM899804,Homo sapiens,B.1.617.2,9,202132,,Older,Raval et al,,,,
HongKong/HKU-210804-001/2021,2021-04-28,,21I (Delta),,0.75,Hong Kong,Asia,Hong Kong,OM212471,Homo sapiens,AY.75,9,202117,,Older,To et al A,,,,
USA/RI-CDCBI-RIDOH_YINOXAQVFCYPEVWP/2021,2021-09-19,,21I (Delta),,0.77,USA,North America,Rhode Island,OK441687,Homo sapiens,AY.75,9,202138,,Older,Lemieux et al D,,Broad Institute Genomic Center for Infectious Diseases,Rhode Island Department of Health,
